Concept(EN)	ConceptClass	Concept(IT)	SubjectCode	No.Concept	No.Phrase	Feature	RelationType	Phrase
cherry	fruit	ciliegia	s104	17		3	has_a_pit	eci	con_un_nocciolo_al_suo_interno
cherry	fruit	ciliegia	s104	17		4	grows_on_cherry_trees	sl	si_trova_su_alberi_chiamati_ciliegi
comb	implement	pettine	s104	18		1	an_object	ch	oggetto
comb	implement	pettine	s104	18		2	used_for_grooming	sf	serve_per_sembrare_più_presentabili
dog	mammal	cane	s104	19		1	an_animal	ch	animale
dog	mammal	cane	s104	19		2	is_common	ie	comune
dog	mammal	cane	s104	19		3	found_in_cities	sl	che_si_trova_anche_in_villa
dog	mammal	cane	s104	19		4	is_man's_best_friend	sr	dicono_sia_il_migliore_amico_dell'uomo
eye	bodypart	occhio	s104	20		1	used_for_seeing	sf	ti_consente_di_vedere_ciò_che_ti_circonda
monkey	mammal	scimmia	s104	21		1	an_animal	ch	animale
monkey	mammal	scimmia	s104	21		2	a_relative_of_humans	cc	che_assomiglia_vagamente_all'uomo
monkey	mammal	scimmia	s104	21		3	is_intelligent	iep	dall'intelligenza_inferiore
monkey	mammal	scimmia	s104	21		4	beh_-_eats_bananas	eb	mangia_banane
monkey	mammal	scimmia	s104	21		5	lives_in_tropical_forests	sl	si_trova_nella_giungla
woodpecker	bird	picchio	s104	22		1	a_bird	ch	un_uccello
woodpecker	bird	picchio	s104	22		2	beh_-_hits_against_trees_with_beak	eb	si_chiama_così_perché_è_solito_picchiare_con_il_suo_lungo_becco_sulla_corteccia_degli_alberi
goose	bird	oca	s104	23		1	an_animal	ch	animale
goose	bird	oca	s104	23		2	like_a_bird	io	simile_ad_un_uccello
goose	bird	oca	s104	23		3	has_large_beak	ece	però_con_il_becco_più_grande
goose	bird	oca	s104	23		4	beh_-_cannot_fly	in	incapace_di_volare
goose	bird	oca	s104	23		5	is_common	ie	comune
goose	bird	oca	s104	23		6	lives_in_lakes	sl	presente_nei_laghi
train	vehicle	treno	s104	24		1	a_vehicle	ch	mezzo
train	vehicle	treno	s104	24		2	used_for_transportation	sf	di_trasporto
train	vehicle	treno	s104	24		3	a_relative_of_cars	cc	simile_ad_una_macchina
train	vehicle	treno	s104	24		4	used_on_rail_tracks	se	viaggia_su_dei_binari
corn	vegetable	mais	s104	25		1	a_vegetable	ch	verdura
corn	vegetable	mais	s104	25		2	comes_from_America	sor	importata_dall'America
corn	vegetable	mais	s104	25		3	tastes_sweet	esi	di_sapore_dolce
corn	vegetable	mais	s104	25		4	is_small	ese	di_piccole_dimensioni
corn	vegetable	mais	s104	25		5	comes_on_cobs	ese	si_trova_su_pannocchie
apple	fruit	mela	s105	1		1	a_fruit	ch	frutto
apple	fruit	mela	s105	1		2	is_edible	sa	commestibile
apple	fruit	mela	s105	1		3	different_colours	ese	vari_colori
apple	fruit	mela	s105	1		4	is_hard	ese	dura_al_tatto
chemise	clothing	camicia	s105	2		1	clothing	ch	indumento
chemise	clothing	camicia	s105	2		2	worn_for_covering_a_part_of_the_body	sf	serve_per_coprire_una_parte_del_corpo
chemise	clothing	camicia	s105	2		3	made_of_different_materials	em	può_essere_di_vari_tessuti
bus	vehicle	autobus	s105	3		1	a_vehicle	ch	mezzo
bus	vehicle	autobus	s105	3		2	used_for_transportation	sf	di_trasporto
bus	vehicle	autobus	s105	3		3	used_by_many_passengers	sp	utilizzato_da_molte_persone
bus	vehicle	autobus	s105	3		4	used_for_travel	sf	per_spostarsi_da_un_posto_all'altro
bus	vehicle	autobus	s105	3		5	is_large	ese	molto_grande
bus	vehicle	autobus	s105	3		6	requires_drivers	ic	c'è_una_persona_che_lo_guida
bus	vehicle	autobus	s105	3		7	has_seats	eci	ci_sono_delle_sedie_per_sedersi
seagull	bird	gabbiano	s105	4		1	an_animal	ch	è_un_animale
seagull	bird	gabbiano	s105	4		2	a_bird	ch	è_un_uccello
seagull	bird	gabbiano	s105	4		3	is_white	ese	è_bianco
seagull	bird	gabbiano	s105	4		4	has_wings	ece	ha_le_ali
seagull	bird	gabbiano	s105	4		5	beh_-_flies	eb	vola
seagull	bird	gabbiano	s105	4		6	lives_by_the_ocean	sl	vive_soprattutto_vicino_al_mare
seagull	bird	gabbiano	s105	4		7	beh_-_lays_eggs	eb	fa_le_uova_che_contengono_i_piccoli
owl	bird	gufo	s105	5		1	an_animal	ch	è_un_animale
owl	bird	gufo	s105	5		2	a_bird	ch	è_un_uccello
owl	bird	gufo	s105	5		3	has_soft_feathers	eci	ha_un_piumaggio_morbido
owl	bird	gufo	s105	5		4	is_brown	ese	è_di_colore_marrone
owl	bird	gufo	s105	5		5	is_white	ese	è_di_colore_bianco
owl	bird	gufo	s105	5		6	is_grey	ese	è_di_colore_grigio
owl	bird	gufo	s105	5		7	beh_-_is_nocturnal	eb	vive_di_notte
owl	bird	gufo	s105	5		8	beh_-_hunts	eb	caccia
owl	bird	gufo	s105	5		9	beh_-_eats_mice	eb	si_ciba_di_topi
owl	bird	gufo	s105	5		10	beh_-_eats_little_animals	eb	si_ciba_di_altri_piccoli_animali
owl	bird	gufo	s105	5		11	is_mild	iep	non_è_aggressivo
owl	bird	gufo	s105	5		12	lives_in_forests	sl	vive_nei_boschi
tower	building	torre	s105	6		1	a_construction	ch	una_costruzione
tower	building	torre	s105	6		2	is_tall	ese	alta
tower	building	torre	s105	6		3	made_of_brick	em	di_mattone
tower	building	torre	s105	6		4	made_of_stones	em	di_pietra
tower	building	torre	s105	6		5	is_sturdy	iep	solida
potato	vegetable	patata	s105	7		1	is_edible	sa	un_cibo
potato	vegetable	patata	s105	7		2	a_tuber	ch	un_tubero
potato	vegetable	patata	s105	7		3	is_edible	sa	commestibile
potato	vegetable	patata	s105	7		4	grows_on_the_ground	sl	cresce_nel_suolo
potato	vegetable	patata	s105	7		5	a_vegetable	ch	è_un_ortaggio
potato	vegetable	patata	s105	7		6	is_round	ese	è_tonda
potato	vegetable	patata	s105	7		7	is_yellow	ese	è_di_colore_giallo
potato	vegetable	patata	s105	7		8	is_red	ese	è_di_colore_rosso
potato	vegetable	patata	s105	7		9	is_hard	ese	è_dura_al_tatto
potato	vegetable	patata	s105	7		10	eaten_by_cooking	sa	si_mangia_cotta
finger	bodypart	dito	s105	8		1	a_body_part	ch	parte_del_corpo_umano
finger	bodypart	dito	s105	8		2	part_of_hand	ew	fa_parte_delle_mani
finger	bodypart	dito	s105	8		3	part_of_foot	ew	fa_parte_dei_piedid
finger	bodypart	dito	s105	8		4	is_pink	ese	di_colore_rosa
finger	bodypart	dito	s105	8		5	has_bones	eci	costituito_da_ossa
finger	bodypart	dito	s105	8		6	used_for_grasping	sf	viene_utilizzato_per_afferrare_oggetti
finger	bodypart	dito	s105	8		7	beh_-_moves	eb	si_può_muovere
skyscraper	building	grattacielo	s105	9		1	a_construction	ch	è_una_costruzione
skyscraper	building	grattacielo	s105	9		2	is_tall	ese	molto_alto
skyscraper	building	grattacielo	s105	9		3	has_many_floors	ece	ha_vari_piani
skyscraper	building	grattacielo	s105	9		4	used_for_housing_people	sf	può_contenere_delle_abitazioni
skyscraper	building	grattacielo	s105	9		5	used_for_offices	se	può_contenere_degli_uffici
hand	bodypart	mano	s105	10		1	a_body_part	ch	parte_del_corpo_umano
hand	bodypart	mano	s105	10		2	has_fingers	ece	costituita_da_dita
hand	bodypart	mano	s105	10		3	used_for_grasping	sf	serve_per_afferrare_oggetti
hand	bodypart	mano	s105	10		4	used_for_doing	sf	serve_per_compiere_varie_cose
socks	clothing	calzini	s105	11		1	clothing	ch	indumento
socks	clothing	calzini	s105	11		2	worn_for_covering_feet	sf	serve_all'uomo_per_coprire_i_piedi
socks	clothing	calzini	s105	11		3	worn_for_keeping_feet_warm	sf	tengono_i_piedi_al_caldo
socks	clothing	calzini	s105	11		4	made_of_soft_cloth	em	sono_di_un_tessuto_morbido
socks	clothing	calzini	s105	11		5	different_sizes	ese	di_varie_lunghezze
socks	clothing	calzini	s105	11		6	different_colours	ese	di_vari_colori
jacket	clothing	giacca	s105	12		1	clothing	ch	abito
jacket	clothing	giacca	s105	12		2	clothing	ch	indumento
jacket	clothing	giacca	s105	12		3	used_for_protection	sf	si_indossa_per_ripararsi
jacket	clothing	giacca	s105	12		4	used_for_covering	sf	si_indossa_per_coprirsi
jacket	clothing	giacca	s105	12		5	made_of_different_materials	em	può_essere_di_vari_tessuti
jacket	clothing	giacca	s105	12		6	is_closed	sa	si_può_chiudere
jacket	clothing	giacca	s105	12		7	has_buttons	ece	può_avere_bottoni
jacket	clothing	giacca	s105	12		8	has_sleeves	ece	ha_delle_maniche_dove_si_infilano_le_braccia
table	furniture	tavolo	s105	13		1	is_hard	ese	duro
table	furniture	tavolo	s105	13		2	made_of_wood	em	di_legno
table	furniture	tavolo	s105	13		3	made_of_different_materials	em	di_altro_materiale
table	furniture	tavolo	s105	13		4	is_rectangular	ese	ha_una_forma_rettangolare
table	furniture	tavolo	s105	13		5	is_round	ese	ha_una_forma_cirolare
table	furniture	tavolo	s105	13		6	has_4_legs	ece	ha_4_gambe
table	furniture	tavolo	s105	13		7	an_object	ch	non_è_un_vivente
table	furniture	tavolo	s105	13		8	used_for_eating_on	sf	si_usa_per_mangiare
table	furniture	tavolo	s105	13		9	used_for_holding	sf	si_usa_per_appoggiare_varie_cose
table	furniture	tavolo	s105	13		10	used_for_working	sf	su_può_costruire
sweater	clothing	pullover	s105	14		1	clothing	ch	è_un_indumento
sweater	clothing	pullover	s105	14		2	worn_for_covering	sf	viene_utilizzato_per_coprirsi
sweater	clothing	pullover	s105	14		3	worn_for_warmth	sf	è_caldo
sweater	clothing	pullover	s105	14		4	made_of_different_materials	em	è_di_vari_tessuti
sweater	clothing	pullover	s105	14		5	worn_for_the_cold	sf	si_usa_quando_fa_freddo
rabbit	mammal	coniglio	s105	15		1	an_animal	ch	è_un_animale
rabbit	mammal	coniglio	s105	15		2	a_mammal	ch	è_un_mammifero
rabbit	mammal	coniglio	s105	15		3	beh_-_produces_offspring	eb	fa_i_cuccioli
rabbit	mammal	coniglio	s105	15		4	is_white	ese	è_di_colore_bianco
rabbit	mammal	coniglio	s105	15		5	is_black	ese	è_di_colore_nero
rabbit	mammal	coniglio	s105	15		6	different_colours	ese	è_di_altri_colori
rabbit	mammal	coniglio	s105	15		7	beh_-_hops	eb	salta
rabbit	mammal	coniglio	s105	15		8	lives_in_forests	sl	vive_nei_boschi
rabbit	mammal	coniglio	s105	15		9	beh_-_eats_vegetables	eb	mangia_vegetali
church	building	chiesa	s105	16		1	a_building	ch	costruzione
church	building	chiesa	s105	16		2	used_for_praying	sf	le_persone_si_riuniscono_per_pregaare_un_Dio
church	building	chiesa	s105	16		3	has_seats	eci	all'interno_ci_sono_delle_sedie_per_sedersi
church	building	chiesa	s105	16		4	has_an_altar	eci	c'è_uno_spazio_dedicato_al_prete
church	building	chiesa	s105	16		5	has_saint_statues	eci	ci_possono_essere_delle_statue_di_santi
church	building	chiesa	s105	16		6	used_for_worshipping	sf	vengono_condotte_le_messe
head	bodypart	testa	s105	17		1	a_body_part	ch	parte_del_corpo_umano
head	bodypart	testa	s105	17		2	top_part	ew	posta_in_cima
head	bodypart	testa	s105	17		3	is_delicate	ese	molto_delicata
head	bodypart	testa	s105	17		4	has_hair	ece	ricoperta_di_capelli
truck	vehicle	camion	s105	18		1	a_vehicle	ch	mezzo
truck	vehicle	camion	s105	18		2	used_for_transportation	sf	di_trasporto
truck	vehicle	camion	s105	18		3	has_wheels	ece	ha_le_ruote
truck	vehicle	camion	s105	18		4	has_an_engine	eci	ha_un_motore
truck	vehicle	camion	s105	18		5	requires_drivers	ic	viene_guidato_da_una_persona
truck	vehicle	camion	s105	18		6	used_for_cargo	se	viene_utilizzato_per_carichi_pesanti
bed	furniture	letto	s105	19		1	a_construction	ch	costruzione
bed	furniture	letto	s105	19		2	used_for_lying_down	sf	ci_si_sdraia_sopra
bed	furniture	letto	s105	19		3	used_for_sitting	sf	ci_si_siede_sopra
bed	furniture	letto	s105	19		4	used_for_sleeping	sf	si_usa_per_dormire
bed	furniture	letto	s105	19		5	is_hard	ese	è_duro
pineapple	fruit	ananas	s105	20		1	a_fruit	ch	è_un_frutto
pineapple	fruit	ananas	s105	20		2	grows_on_trees	sl	cresce_sugli_alberi
pineapple	fruit	ananas	s105	20		3	tastes_sweet	esi	è_molto_dolce
pineapple	fruit	ananas	s105	20		4	is_yellow_inside	esi	all'interno_è_di_colore_giallo
pineapple	fruit	ananas	s105	20		5	has_a_prickly_skin	ece	fuori_ha_le_scaglie
pineapple	fruit	ananas	s105	20		6	is_edible	sa	è_commestibile
pineapple	fruit	ananas	s105	20		7	grows_in_warm_climates	sl	cresce_nei_paesi_caldi
pear	fruit	pera	s105	21		1	a_fruit	ch	è_un_frutto
pear	fruit	pera	s105	21		2	tastes_sweet	esi	è_molto_dolce
pear	fruit	pera	s105	21		3	is_round	ese	ha_una_forma_quasi_tonda
pear	fruit	pera	s105	21		4	has_a_skin	ece	ha_una_buccia
pear	fruit	pera	s105	21		5	is_edible	sa	è_commestibile
pear	fruit	pera	s105	21		6	is_white_inside	esi	la_polpa_è_bianco-giallastra
leg	bodypart	gamba	s105	22		1	a_body_part	ch	parte_del_corpo_umano
leg	bodypart	gamba	s105	22		2	there_are_2	eq	l'uomo_ne_possiede_2
leg	bodypart	gamba	s105	22		3	used_for_walking	sf	servono_per_camminare
leg	bodypart	gamba	s105	22		4	used_for_standing	sf	servono_per_stare_in_piedi
leg	bodypart	gamba	s105	22		5	a_limb	ch	arti
bridge	building	ponte	s105	23		1	a_construction	ch	costruzione
bridge	building	ponte	s105	23		2	found_over_rivers	sl	viene_costruito_su_un_fiume
bridge	building	ponte	s105	23		3	is_sturdy	iep	resistente
bridge	building	ponte	s105	23		4	used_by_people	sp	le_persone_possono_passarci_sopra
bridge	building	ponte	s105	23		5	made_of_brick	em	fatta_di_mattoni
bridge	building	ponte	s105	23		6	is_arch_shaped	ese	ha_una_forma_ad_arco
tongs	implement	pinze	s105	24		1	a_tool	ch	utensile
tongs	implement	pinze	s105	24		2	is_sturdy	iep	strumento_resistente
tongs	implement	pinze	s105	24		3	is_hand_held	sa	viene_utilizzato_manualmente
tongs	implement	pinze	s105	24		4	is_sturdy	iep	è_di_un_materiale_resistente
tongs	implement	pinze	s105	24		5	is_small	ese	sono_piccole
tongs	implement	pinze	s105	24		6	has_2_handles	ece	sono_costituite_da_2_parti
spinach	vegetable	spinaci	s105	25		1	a_vegetable	ch	verdura
spinach	vegetable	spinaci	s105	25		2	is_green	ese	di_colore_verde
spinach	vegetable	spinaci	s105	25		3	is_edible	sa	si_possono_mangiare
spinach	vegetable	spinaci	s105	25		4	eaten_raw	sa	crudi
spinach	vegetable	spinaci	s105	25		5	eaten_by_cooking	sa	si_possono_mangiare_cotti
spinach	vegetable	spinaci	s105	25		6	is_soft	ese	di_consistenza_morbida
spinach	vegetable	spinaci	s105	25		7	is_soft	ese	di_consistenza_molle
spinach	vegetable	spinaci	s105	25		8	is_not_bitter	in	dal_sapore_non_troppo_amaro
bear	mammal	orso	s106	1		1	an_animal	ch	animale
bear	mammal	orso	s106	1		2	a_mammal	ch	mammifero
bear	mammal	orso	s106	1		3	smaller_than_human	io	ha_le_dimensioni_leggermente_più_piccole_dell'uomo
bear	mammal	orso	s106	1		4	lives_in_forests	sl	abita_nella_foresta
peas	vegetable	piselli	s106	2		1	is_round	ese	sono_tondi
peas	vegetable	piselli	s106	2		2	is_small	ese	sono_piccoli
peas	vegetable	piselli	s106	2		3	is_green	ese	sono_verdi
peas	vegetable	piselli	s106	2		4	a_legume	ch	sono_legumi
paintbrush	implement	pennello	s106	3		1	used_for_painting	sf	si_usa_per_dipingere
paintbrush	implement	pennello	s106	3		2	used_for_writing	sf	si_usa_per_scrivere
paintbrush	implement	pennello	s106	3		3	is_long	ese	è_longilineo
paintbrush	implement	pennello	s106	3		4	used_with_water	se	si_usa_con_l'acqua
paintbrush	implement	pennello	s106	3		5	used_with_ink	se	si_usa_con_l'inchiostro
paintbrush	implement	pennello	s106	3		6	has_a_handle	ece	ha_una_parte_dura
paintbrush	implement	pennello	s106	3		7	has_bristles	ece	ha_una_parte_morbida
shoes	clothing	scarpe	s106	4		1	worn_on_feet	sf	si_indossano_ai_piedi
shoes	clothing	scarpe	s106	4		2	worn_for_protection	sf	proteggono_dal_freddo
shoes	clothing	scarpe	s106	4		3	worn_for_protection	sf	proteggono_dallo_sporco
shoes	clothing	scarpe	s106	4		4	worn_for_protection	sf	proteggono_da_oggetti_contundenti
shoes	clothing	scarpe	s106	4		5	has_a_lace	ece	alcune_si_legano_con_i_lacci
ship	vehicle	nave	s106	5		1	a_vehicle	ch	è_un_mezzo
ship	vehicle	nave	s106	5		2	used_for_transportation	sf	di_trasporto
ship	vehicle	nave	s106	5		3	used_on_water	sl	va_sull'acqua
ship	vehicle	nave	s106	5		4	is_large	ese	è_grande
ship	vehicle	nave	s106	5		5	used_for_trading	sf	per_commercio
ship	vehicle	nave	s106	5		6	used_by_passengers	sp	per_passeggeri
sparrow	bird	passero	s106	6		1	a_bird	ch	un_uccello
sparrow	bird	passero	s106	6		2	is_small	ese	piccolo
sparrow	bird	passero	s106	6		3	beh_-_chirps	eb	cinguetta
sparrow	bird	passero	s106	6		4	beh_-_builds_nests	eb	ha_un_nido
onion	vegetable	cipolla	s106	7		1	a_vegetable	ch	è_una_verdura
onion	vegetable	cipolla	s106	7		2	eaten_as_seasoning	se	viene_usata_per_evidenziare_i_sapori
onion	vegetable	cipolla	s106	7		3	has_layers	eci	ha_vari_strati
sword	implement	spada	s106	8		1	a_weapon	ch	arma
sword	implement	spada	s106	8		2	has_a_handle	ece	formata_da_un_manico
sword	implement	spada	s106	8		3	has_a_blade	ece	formata_da_una_lama
sword	implement	spada	s106	8		4	is_ancient	st	usata_nel_passato
sword	implement	spada	s106	8		5	used_by_warriors	sp	usata_da_guerrieri
airplane	vehicle	aeroplano	s106	9		1	a_vehicle	ch	mezzo
airplane	vehicle	aeroplano	s106	9		2	used_for_transportation	sf	di_trasporto
airplane	vehicle	aeroplano	s106	9		3	is_fast	iep	si_muove_ad_alta_velocità
airplane	vehicle	aeroplano	s106	9		4	travels_in_the_sky	sl	si_sposta_in_cielo
airplane	vehicle	aeroplano	s106	9		5	travels_in_the_sky	sl	si_sposta_ad_una_grande_distanza_dal_suolo
airplane	vehicle	aeroplano	s106	9		6	is_recent	st	è_uno_dei_mezzi_più_recenti
closet	furniture	armadio	s106	10		1	used_for_storing_clothing	sf	serve_per_contenere_vestiti
closet	furniture	armadio	s106	10		2	used_for_storing_boxes	sf	serve_per_contenere_scatole
closet	furniture	armadio	s106	10		3	used_for_storing_shoes	sf	serve_per_contenere_scarpe
closet	furniture	armadio	s106	10		4	used_for_storing	sf	serve_per_contenere_oggetti
closet	furniture	armadio	s106	10		5	found_in_houses	sl	si_usa_in_casa
closet	furniture	armadio	s106	10		6	found_in_offices	sl	si_usa_in_ufficio
closet	furniture	armadio	s106	10		7	found_in_classrooms	sl	si_usa_in_classe
closet	furniture	armadio	s106	10		8	has_shelves	eci	ha_più_ripiani
chair	furniture	sedia	s106	11		1	used_for_sitting	sf	ci_si_siede_sopra
chair	furniture	sedia	s106	11		2	found_everywhere	sl	si_trova_dapertutto
chair	furniture	sedia	s106	11		3	found_in_houses	sl	si_trova_in_casa
chair	furniture	sedia	s106	11		4	found_in_schools	sl	si_trova_a_scuola
chair	furniture	sedia	s106	11		5	found_in_offices	sl	si_trova_in_uffici
chair	furniture	sedia	s106	11		6	found_in_waiting-rooms	sl	si_trova_in_sale_d'aspetto
chair	furniture	sedia	s106	11		7	found_in_rooms	sl	si_trova_in_stanze
chair	furniture	sedia	s106	11		8	has_4_legs	ece	è_formata_da_4_gambe
chair	furniture	sedia	s106	11		9	has_a_back	ece	è_formata_fa_un_poggiaschiena
armchair	furniture	poltrona	s106	12		1	used_for_sitting	sf	serve_per_sedersi_sopra
armchair	furniture	poltrona	s106	12		2	made_of_leather	em	rivestita_di_pelle
armchair	furniture	poltrona	s106	12		3	made_of_cloth	em	rivestita_di_stoffa
armchair	furniture	poltrona	s106	12		4	is_soft	ese	è_morbida
horse	mammal	cavallo	s106	13		1	an_animal	ch	animale
horse	mammal	cavallo	s106	13		2	a_mammal	ch	mammifero
horse	mammal	cavallo	s106	13		3	has_4_legs	ece	ha_4_zampe
horse	mammal	cavallo	s106	13		4	has_a_mane	ece	ha_una_criniera
horse	mammal	cavallo	s106	13		5	used_for_transportation	sf	usato_per_trasportare
horse	mammal	cavallo	s106	13		6	used_for_travel	sf	usato_per_spostarsi
broom	implement	scopa	s106	14		1	a_tool	ch	utensile
broom	implement	scopa	s106	14		2	used_for_floor_cleaning	sf	serve_per_pulire_il_pavimento
broom	implement	scopa	s106	14		3	has_a_long_handle	ece	formato_da_un_bastone_lungo
broom	implement	scopa	s106	14		4	has_bristles	ece	formato_da_una_parte_morbida
broom	implement	scopa	s106	14		5	found_in_houses	sl	si_usa_in_casa
garage	building	garage	s106	15		1	has_walls_and_a_roof	eci	stanza_chiusa
garage	building	garage	s106	15		2	used_for_storing_cars	sf	deposito_di_auto
garage	building	garage	s106	15		3	used_for_storing_tools	sf	deposito_di_utensili
garage	building	garage	s106	15		4	is_underground	sl	sottoterra
orange	fruit	arancia	s106	16		1	a_fruit	ch	frutto
orange	fruit	arancia	s106	16		2	is_orange	ese	arancione
orange	fruit	arancia	s106	16		3	has_a_skin	ece	ha_una_buccia
orange	fruit	arancia	s106	16		4	used_for_quenching_thirst	sf	è_dissetante
orange	fruit	arancia	s106	16		5	comes_from_East	sor	proviene_dall'oriente
orange	fruit	arancia	s106	16		6	comes_from_Mediterranean	sl	proviene_dal_Mediterraneo
cherry	fruit	ciliegia	s106	17		1	a_fruit	ch	frutto
cherry	fruit	ciliegia	s106	17		2	is_red	ese	rosso
cherry	fruit	ciliegia	s106	17		3	has_a_pit	eci	ha_un_nocciolo
cherry	fruit	ciliegia	s106	17		4	grows_on_cherry_trees	sl	si_trova_su_alberi_di_ciliegio
comb	implement	pettine	s106	18		1	a_tool	ch	è_un_utensile
comb	implement	pettine	s106	18		2	used_for_hair	se	per_pettinare_i_capelli
comb	implement	pettine	s106	18		3	has_teeth	ece	ha_molti_"denti"_intervallati_da_spazio
dog	mammal	cane	s106	19		1	an_animal	ch	animale
dog	mammal	cane	s106	19		2	a_mammal	ch	mammifero
dog	mammal	cane	s106	19		3	is_man's_best_friend	sr	ritenuto_il_migliore_amico_dell'uomo
dog	mammal	cane	s106	19		4	has_4_legs	ece	ha_4_zampe
dog	mammal	cane	s106	19		5	found_everywhere	sl	si_trova_ovunque
eye	bodypart	occhio	s106	20		1	an_organ	ch	organo_umano
eye	bodypart	occhio	s106	20		2	there_are_2	eq	tutti_gli_uomini_ne_hanno_2
eye	bodypart	occhio	s106	20		3	used_for_seeing	sf	servono_per_vedere
eye	bodypart	occhio	s106	20		4	is_round	ese	sono_tondi_o_ovali
monkey	mammal	scimmia	s106	21		1	an_animal	ch	animale
monkey	mammal	scimmia	s106	21		2	a_mammal	ch	mammifero
monkey	mammal	scimmia	s106	21		3	a_relative_of_humans	cc	l'antenato_dell'uomo
monkey	mammal	scimmia	s106	21		4	has_4_legs	ece	ha_4_zampe
monkey	mammal	scimmia	s106	21		5	beh_-_walks_on_2_feet	eb	spesso_sta_solo_su_2_zampe
woodpecker	bird	picchio	s106	22		1	a_bird	ch	uccello
woodpecker	bird	picchio	s106	22		2	lives_on_trees	sl	si_trova_sugli_alberi
woodpecker	bird	picchio	s106	22		3	beh_-_hits_against_trees_with_beak	eb	batte_il_becco_sulle_cortecce_degli_alberi
goose	bird	oca	s106	23		1	an_animal	ch	animale
goose	bird	oca	s106	23		2	is_white	ese	bianco
goose	bird	oca	s106	23		3	has_2_legs	ece	ha_2_zampe
goose	bird	oca	s106	23		4	has_an_orange_beak	ece	ha_un_becco_arancione
train	vehicle	treno	s106	24		1	a_vehicle	ch	mezzo
train	vehicle	treno	s106	24		2	used_for_transportation	sf	di_trasporto
train	vehicle	treno	s106	24		3	used_on_rail_tracks	se	si_sposta_su_binari
train	vehicle	treno	s106	24		4	has_cars	ece	è_a_più_carrozze
corn	vegetable	mais	s106	25		1	a_cereal	ch	è_un_cereale
corn	vegetable	mais	s106	25		2	comes_on_cobs	ese	è_formato_in_pannocchie
corn	vegetable	mais	s106	25		3	grows_on_plants	sl	cresce_sulle_piante
corn	vegetable	mais	s106	25		4	comes_from_America	sor	proviene_dall'America
apple	fruit	mela	s107	1		1	a_fruit	ch	frutto
apple	fruit	mela	s107	1		2	different_colours	ese	diversi_colori
apple	fruit	mela	s107	1		3	grows_on_apple_trees	sl	cresce_su_un_albero_chiamato_melo
apple	fruit	mela	s107	1		4	is_round	ese	di_forma_rotonda
chemise	clothing	camicia	s107	2		1	clothing	ch	indumento
chemise	clothing	camicia	s107	2		2	worn_by_men	sp	maschile
chemise	clothing	camicia	s107	2		3	worn_by_women	sp	femminile
chemise	clothing	camicia	s107	2		4	is_closed	sa	si_chiude
chemise	clothing	camicia	s107	2		5	has_buttons_in_front	ece	attraverso_bottoni_posti_sul_fronte
chemise	clothing	camicia	s107	2		6	has_buttons_on_wrists	ece	attraverso_bottoni_posti_ai_polsi
bus	vehicle	autobus	s107	3		1	a_vehicle	ch	mezzo
bus	vehicle	autobus	s107	3		2	used_for_transportation	sf	di_trasporto
bus	vehicle	autobus	s107	3		3	is_public	iep	pubblico
bus	vehicle	autobus	s107	3		4	requires_a_fare	ic	a_pagamento
bus	vehicle	autobus	s107	3		5	is_large	ese	di_grandi_dimensioni
bus	vehicle	autobus	s107	3		6	has_4_wheels	ece	viagia_a_4_ruote
bus	vehicle	autobus	s107	3		7	used_by_many_passengers	sp	trasporta_molte_persone
seagull	bird	gabbiano	s107	4		1	a_bird	ch	volatile
seagull	bird	gabbiano	s107	4		2	has_white_feathers	ece	con_piumaggio_bianco
seagull	bird	gabbiano	s107	4		3	lives_by_the_ocean	sl	vive_in_zone_prossime_al_mare
seagull	bird	gabbiano	s107	4		4	beh_-_eats_fish	eb	si_nutre_di_pesce
seagull	bird	gabbiano	s107	4		5	is_medium_sized	ese	di_medie_dimensioni
owl	bird	gufo	s107	5		1	a_bird	ch	volatile
owl	bird	gufo	s107	5		2	beh_-_is_nocturnal	eb	notturno
owl	bird	gufo	s107	5		3	is_large	ese	di_dimensioni_grandi
owl	bird	gufo	s107	5		4	has_different_feathers	ece	dal_piumaggio_vario
owl	bird	gufo	s107	5		5	has_2_large_eyes	ece	con_2_grandi_occhi
tower	building	torre	s107	6		1	a_building	ch	edificio
tower	building	torre	s107	6		2	has_many_floors	ece	a_più_piani
tower	building	torre	s107	6		3	is_tall	ese	molto_alto
tower	building	torre	s107	6		4	is_round	ese	a_pianta_circolare
tower	building	torre	s107	6		5	is_square	ese	a_pianta_quadrata
potato	vegetable	patata	s107	7		1	a_tuber	ch	tubero
potato	vegetable	patata	s107	7		2	is_edible	sa	commestibile
potato	vegetable	patata	s107	7		3	is_yellow	ese	di_colore_giallo
potato	vegetable	patata	s107	7		4	has_a_dark_skin	ece	ricoperto_da_una_buccia_più_scura
potato	vegetable	patata	s107	7		5	grows_underground	sl	cresce_sottoterra
finger	bodypart	dito	s107	8		1	a_body_part	ch	parte_del_corpo_umano
finger	bodypart	dito	s107	8		2	part_of_hand	ew	parte_della_mano
finger	bodypart	dito	s107	8		3	has_finger_bones	eci	costituita_da_falangi
finger	bodypart	dito	s107	8		4	different_sizes	ese	di_lunghezza_variabile
skyscraper	building	grattacielo	s107	9		1	a_building	ch	edificio
skyscraper	building	grattacielo	s107	9		2	is_tall	ese	molto_alto
